"id","time","latitude","longitude"
"1",2.779,51.4069564,-2.6631144
"1",2.799,51.40695649,-2.66311602
"1",2.819,51.40695662,-2.6631177
"1",2.839,51.40695681,-2.66311922
"1",2.86,51.40695703,-2.66312047
"1",2.88,51.40695729,-2.66312181
"1",2.9,51.40695754,-2.66312316
"1",2.92,51.40695781,-2.66312459
"1",2.94,51.40695812,-2.66312597
"1",2.96,51.40695844,-2.66312715
"1",2.98,51.40695878,-2.66312831
"1",3,51.40695917,-2.66312964
"1",3.019,51.40695958,-2.66313087
"1",3.039,51.40696001,-2.66313184
"1",3.059,51.40696042,-2.66313288
"1",3.079,51.40696085,-2.66313392
"1",3.099,51.40696131,-2.66313484
"1",3.119,51.40696174,-2.6631358
"1",3.139,51.40696215,-2.66313661
"1",3.16,51.40696258,-2.66313706
"1",3.18,51.406963,-2.66313749
"1",3.2,51.40696343,-2.66313793
"1",3.22,51.40696386,-2.66313824
"1",3.24,51.40696426,-2.66313844
"1",3.259,51.40696463,-2.66313855
"1",3.279,51.40696499,-2.66313843
"1",3.299,51.40696534,-2.66313827
"1",3.319,51.40696568,-2.66313821
"1",3.339,51.40696602,-2.66313807
"1",3.36,51.40696636,-2.6631379
"1",3.38,51.40696668,-2.66313779
"1",3.4,51.40696698,-2.66313756
"1",3.42,51.4069673,-2.66313699
"1",3.44,51.40696761,-2.66313617
"1",3.46,51.40696791,-2.66313549
"1",3.48,51.40696821,-2.66313493
"1",3.5,51.40696853,-2.66313419
"1",3.519,51.40696885,-2.66313327
"1",3.539,51.40696919,-2.66313228
"1",3.559,51.40696957,-2.66313119
"1",3.579,51.40696994,-2.66312997
"1",3.599,51.40697028,-2.66312889
"1",3.619,51.40697064,-2.66312786
"1",3.639,51.40697105,-2.66312663
"1",3.66,51.40697146,-2.66312546
"1",3.68,51.40697185,-2.66312432
"1",3.7,51.40697223,-2.66312319
"1",3.72,51.40697265,-2.66312208
"1",3.74,51.40697312,-2.66312083
"1",3.759,51.40697362,-2.66311943
"1",3.779,51.40697409,-2.66311817
"1",3.799,51.40697456,-2.66311708
"1",3.819,51.40697509,-2.66311592
"1",3.839,51.40697568,-2.66311449
"1",3.86,51.40697625,-2.66311295
"1",3.88,51.40697678,-2.66311148
"1",3.9,51.40697732,-2.66311025
"1",3.92,51.40697791,-2.66310895
"1",3.94,51.40697849,-2.6631077
"1",3.96,51.40697906,-2.66310644
"1",3.98,51.40697962,-2.66310533
"1",4,51.40698021,-2.66310431
"1",4.019,51.40698091,-2.66310295
"1",4.039,51.40698166,-2.66310134
"1",4.059,51.40698235,-2.66309988
"1",4.079,51.40698302,-2.6630986
"1",4.099,51.40698366,-2.66309746
"1",4.119,51.40698432,-2.6630962
"1",4.139,51.40698508,-2.66309463
"1",4.16,51.4069859,-2.66309309
"1",4.18,51.40698666,-2.66309204
"1",4.2,51.40698735,-2.66309112
"1",4.22,51.40698805,-2.66308998
"1",4.24,51.40698878,-2.66308866
"1",4.259,51.40698944,-2.66308763
"1",4.279,51.40699001,-2.6630871
"1",4.299,51.40699065,-2.66308638
"1",4.319,51.40699144,-2.66308509
"1",4.339,51.40699225,-2.66308343
"1",4.36,51.40699299,-2.66308213
"1",4.38,51.40699372,-2.66308118
"1",4.4,51.40699453,-2.66308003
"1",4.42,51.4069954,-2.66307862
"1",4.44,51.40699622,-2.66307733
"1",4.46,51.40699707,-2.66307586
"1",4.48,51.40699797,-2.66307462
"1",4.5,51.40699885,-2.66307358
"1",4.519,51.40699975,-2.66307224
"1",4.539,51.40700062,-2.66307064
"1",4.559,51.40700145,-2.66306912
"1",4.579,51.40700226,-2.66306802
"1",4.599,51.40700315,-2.66306693
"1",4.619,51.4070041,-2.66306558
"1",4.639,51.40700501,-2.66306421
"1",4.66,51.40700593,-2.66306284
"1",4.68,51.40700657,-2.66306242
"1",4.7,51.40700722,-2.66306199
"1",4.72,51.40700787,-2.66306156
"1",4.74,51.40700868,-2.66306034
"1",4.759,51.40700949,-2.66305913
"2",0,51.40698012,-2.66300942
"2",0.019,51.40698066,-2.66300987
"2",0.039,51.40698123,-2.66301027
"2",0.059,51.40698185,-2.66301043
"2",0.079,51.4069825,-2.66301051
"2",0.099,51.40698312,-2.66301087
"2",0.119,51.40698376,-2.66301134
"2",0.139,51.4069845,-2.66301169
"2",0.16,51.40698529,-2.66301214
"2",0.18,51.40698604,-2.66301254
"2",0.2,51.40698679,-2.66301294
"2",0.22,51.40698754,-2.66301333
"2",0.24,51.40698811,-2.66301357
"2",0.259,51.40698868,-2.6630138
"2",0.279,51.40698923,-2.66301431
"2",0.299,51.40698993,-2.66301455
"2",0.319,51.40699076,-2.66301454
"2",0.339,51.40699159,-2.66301454
"2",0.36,51.40699262,-2.66301406
"2",0.38,51.40699362,-2.66301329
"2",0.4,51.40699422,-2.66301319
"2",0.42,51.40699474,-2.66301344
"2",0.44,51.40699527,-2.66301368
"2",0.46,51.40699593,-2.66301374
"2",0.48,51.4069966,-2.66301379
"2",0.5,51.40699727,-2.66301384
"2",0.519,51.40699793,-2.6630138
"2",0.539,51.4069986,-2.66301376
"2",0.559,51.40699931,-2.66301376
"2",0.579,51.40700011,-2.66301379
"2",0.599,51.40700095,-2.66301374
"2",0.619,51.40700179,-2.66301346
"2",0.639,51.40700259,-2.66301314
"2",0.66,51.40700323,-2.66301338
"2",0.68,51.40700386,-2.66301363
"2",0.7,51.40700457,-2.66301371
"2",0.72,51.40700528,-2.66301378
"2",0.74,51.40700598,-2.66301386
"2",0.759,51.40700694,-2.66301325
"2",0.779,51.4070079,-2.66301263
"2",0.799,51.40700885,-2.66301186
"2",0.819,51.40700979,-2.66301109
"2",0.839,51.40701042,-2.66301159
"2",0.86,51.40701104,-2.6630121
"2",0.88,51.40701167,-2.6630125
"2",0.9,51.40701233,-2.66301274
"2",0.92,51.40701297,-2.66301332
"2",0.94,51.40701352,-2.66301435
"2",0.96,51.40701407,-2.66301538
"2",0.98,51.40701463,-2.66301631
"2",1,51.40701519,-2.66301723
"2",1.019,51.40701609,-2.66301717
"2",1.039,51.40701699,-2.66301711
"2",1.059,51.4070179,-2.66301707
"2",1.079,51.40701866,-2.66301743
"2",1.099,51.40701942,-2.66301777
"2",1.119,51.40702007,-2.66301821
"2",1.139,51.40702073,-2.66301865
"2",1.16,51.40702131,-2.66301919
"2",1.18,51.40702193,-2.66301984
"2",1.2,51.40702255,-2.66302049
"2",1.22,51.40702314,-2.66302181
"2",1.24,51.40702373,-2.66302313
"2",1.259,51.40702432,-2.66302447
"2",1.279,51.4070248,-2.66302577
"2",1.299,51.40702554,-2.66302582
"2",1.319,51.40702629,-2.66302588
"2",1.339,51.40702703,-2.66302595
"2",1.36,51.40702787,-2.66302579
"2",1.38,51.40702868,-2.66302589
"2",1.4,51.40702949,-2.66302598
"2",1.42,51.40703007,-2.66302686
"2",1.44,51.40703053,-2.66302802
"2",1.46,51.40703106,-2.66302907
"2",1.48,51.40703161,-2.66303008
"2",1.5,51.40703212,-2.66303134
"2",1.519,51.40703259,-2.66303269
"2",1.539,51.40703306,-2.66303406
"2",1.559,51.40703364,-2.66303508
"2",1.579,51.4070343,-2.66303586
"2",1.599,51.40703499,-2.66303661
"2",1.619,51.40703575,-2.66303692
"2",1.639,51.40703651,-2.66303724
"2",1.66,51.40703728,-2.66303756
"2",1.68,51.40703804,-2.66303787
"2",1.7,51.4070388,-2.66303819
"2",1.72,51.40703956,-2.66303851
"2",1.74,51.40704032,-2.66303883
"2",1.759,51.40704108,-2.66303914
"2",1.779,51.40704184,-2.66303946
"2",1.799,51.40704261,-2.66303978
"2",1.819,51.40704337,-2.66304009
"2",1.839,51.40704413,-2.66304041
"2",1.86,51.40704489,-2.66304071
"2",1.88,51.40704552,-2.66304106
"2",1.9,51.40704636,-2.66304101
"2",1.92,51.4070472,-2.66304095
"2",1.94,51.40704803,-2.66304088
"2",1.96,51.40704903,-2.66304062
"2",1.98,51.40705012,-2.66304007
"2",2,51.40705119,-2.66303944
"2",2.019,51.40705218,-2.66303893
"2",2.039,51.40705322,-2.66303834
"2",2.059,51.40705426,-2.66303782
"2",2.079,51.40705518,-2.66303763
"2",2.099,51.40705593,-2.66303799
"2",2.119,51.40705668,-2.66303841
"2",2.139,51.40705732,-2.66303906
"2",2.16,51.40705782,-2.66304009
"2",2.18,51.40705826,-2.66304121
"2",2.2,51.40705884,-2.66304204
"2",2.22,51.40705953,-2.66304255
"2",2.24,51.40706007,-2.66304332
"2",2.259,51.40706045,-2.6630445
"2",2.279,51.40706086,-2.66304548
"2",2.299,51.40706147,-2.66304586
"2",2.319,51.40706208,-2.66304625
"2",2.339,51.4070626,-2.66304684
"2",2.36,51.40706298,-2.66304774
"2",2.38,51.40706336,-2.66304864
"2",2.4,51.40706362,-2.66304956
"2",2.42,51.40706389,-2.66305039
"2",2.44,51.40706407,-2.66305144
"2",2.46,51.40706397,-2.66305302
"2",2.48,51.40706388,-2.66305461
"2",2.5,51.40706372,-2.66305601
"2",2.519,51.40706355,-2.66305742
"2",2.539,51.40706338,-2.66305883
"2",2.559,51.40706298,-2.66306022
"2",2.579,51.40706252,-2.66306165
"2",2.599,51.40706228,-2.66306301
"2",2.619,51.40706203,-2.66306437
"2",2.639,51.40706179,-2.66306573
"2",2.66,51.40706154,-2.66306709
"2",2.68,51.4070613,-2.66306844
"2",2.7,51.40706106,-2.6630698
"2",2.72,51.40706082,-2.66307116
"2",2.74,51.40706058,-2.66307252
"2",2.759,51.40706033,-2.66307388
"2",2.779,51.40706009,-2.66307525
"2",2.799,51.40705955,-2.66307629
"2",2.819,51.407059,-2.66307733
"2",2.839,51.40705847,-2.66307838
"2",2.86,51.40705793,-2.66307943
"2",2.88,51.40705739,-2.66308047
"2",2.9,51.40705685,-2.66308152
"2",2.92,51.4070563,-2.66308257
"2",2.94,51.40705577,-2.66308361
"2",2.96,51.40705522,-2.66308466
"2",2.98,51.40705469,-2.66308571
"2",3,51.40705414,-2.66308675
"2",3.019,51.4070536,-2.6630878
"2",3.039,51.40705306,-2.66308885
"2",3.059,51.40705252,-2.6630899
"2",3.079,51.40705198,-2.66309094
"2",3.099,51.40705144,-2.66309198
"2",3.119,51.4070509,-2.66309304
"2",3.139,51.40705036,-2.66309408
"2",3.16,51.40704982,-2.66309512
"2",3.18,51.40704928,-2.66309618
"2",3.2,51.40704874,-2.66309722
"2",3.22,51.4070482,-2.66309826
"2",3.24,51.40704766,-2.66309932
"2",3.259,51.40704712,-2.66310036
"2",3.279,51.40704658,-2.6631014
"2",3.299,51.4070463,-2.66310172
"2",3.319,51.40704581,-2.66310233
"2",3.339,51.40704501,-2.6631034
"2",3.36,51.40704423,-2.66310446
"2",3.38,51.40704354,-2.66310559
"2",3.4,51.40704284,-2.66310673
"2",3.42,51.40704215,-2.66310787
"2",3.44,51.40704145,-2.663109
"2",3.46,51.40704084,-2.66310985
"2",3.48,51.40704011,-2.66311067
"2",3.5,51.40703937,-2.66311149
"2",3.519,51.40703845,-2.66311268
"2",3.539,51.40703748,-2.66311412
"2",3.559,51.40703652,-2.66311554
"2",3.579,51.40703572,-2.66311662
"2",3.599,51.40703516,-2.66311716
"2",3.619,51.4070348,-2.66311733
"2",3.639,51.40703449,-2.66311741
"2",3.66,51.40703412,-2.66311765
"2",3.68,51.40703362,-2.66311812
"2",3.7,51.40703306,-2.66311866
"2",3.72,51.40703257,-2.66311904
"2",3.74,51.40703215,-2.66311935
"2",3.759,51.40703177,-2.6631196
"2",3.779,51.40703129,-2.66312006
"2",3.799,51.40703075,-2.66312061
"2",3.819,51.40703025,-2.66312105
"2",3.839,51.40702976,-2.66312145
"2",3.86,51.40702923,-2.66312193
"2",3.88,51.40702872,-2.66312245
"2",3.9,51.40702824,-2.66312285
"2",3.92,51.40702778,-2.66312325
"2",3.94,51.40702736,-2.66312357
"2",3.96,51.40702695,-2.66312389
"2",3.98,51.40702653,-2.6631242
"2",4,51.40702612,-2.66312453
"2",4.019,51.4070257,-2.66312491
"2",4.039,51.40702519,-2.66312542
"2",4.059,51.40702461,-2.66312607
"2",4.079,51.40702408,-2.66312657
"2",4.099,51.40702359,-2.66312692
"2",4.119,51.40702303,-2.66312749
"2",4.139,51.40702242,-2.66312828
"2",4.16,51.40702182,-2.66312916
"2",4.18,51.40702125,-2.66312994
"2",4.2,51.40702075,-2.66313051
"2",4.22,51.40702025,-2.66313102
"2",4.24,51.40701973,-2.66313163
"2",4.259,51.40701923,-2.66313225
"2",4.279,51.40701871,-2.66313285
"2",4.299,51.40701814,-2.66313355
"2",4.319,51.40701756,-2.66313435
"2",4.339,51.40701697,-2.6631352
"2",4.36,51.40701634,-2.66313612
"2",4.38,51.40701565,-2.66313717
"2",4.4,51.40701497,-2.66313826
"2",4.42,51.40701433,-2.66313931
"2",4.44,51.4070137,-2.66314035
"2",4.46,51.40701304,-2.66314149
"2",4.48,51.40701232,-2.66314278
"2",4.5,51.40701151,-2.66314428
"2",4.519,51.40701069,-2.66314583
"2",4.539,51.40700995,-2.66314715
"2",4.559,51.40700928,-2.6631483
"2",4.579,51.40700864,-2.66314936
"2",4.599,51.40700805,-2.66315035
"2",4.619,51.4070075,-2.66315125
"2",4.639,51.407007,-2.66315198
"2",4.66,51.40700655,-2.66315255
"2",4.68,51.40700614,-2.66315305
"2",4.7,51.40700575,-2.66315353
"2",4.72,51.40700535,-2.66315403
"2",4.74,51.4070049,-2.66315459
"2",4.759,51.40700445,-2.66315521
"2",4.779,51.40700402,-2.66315583
"2",4.799,51.4070036,-2.66315638
"2",4.819,51.40700317,-2.66315688
"2",4.839,51.40700274,-2.66315739
"2",4.86,51.40700229,-2.66315795
"2",4.88,51.40700183,-2.66315855
"2",4.9,51.40700136,-2.66315911
"2",4.92,51.40700089,-2.66315964
"2",4.94,51.40700037,-2.66316022
"2",4.96,51.40699985,-2.66316072
"2",4.98,51.40699941,-2.66316108
"2",5,51.40699901,-2.66316133
"2",5.019,51.4069986,-2.66316154
"2",5.039,51.40699815,-2.66316169
"2",5.059,51.40699769,-2.66316181
"2",5.079,51.40699721,-2.66316194
"2",5.099,51.4069967,-2.6631621
"2",5.119,51.40699621,-2.66316217
"2",5.139,51.40699576,-2.66316213
"2",5.16,51.40699531,-2.66316205
"2",5.18,51.40699482,-2.66316196
"2",5.2,51.4069943,-2.66316187
"2",5.22,51.40699378,-2.6631617
"2",5.24,51.40699329,-2.6631615
"2",5.259,51.40699276,-2.66316141
"2",5.279,51.40699218,-2.6631614
"2",5.299,51.40699163,-2.66316133
"2",5.319,51.40699116,-2.66316104
"2",5.339,51.4069907,-2.66316076
"2",5.36,51.40699017,-2.66316066
"2",5.38,51.40698957,-2.66316062
"2",5.4,51.40698898,-2.66316039
"2",5.42,51.40698848,-2.6631599
"2",5.44,51.406988,-2.66315942
"2",5.46,51.40698747,-2.66315909
"2",5.48,51.40698691,-2.66315879
"2",5.5,51.40698639,-2.66315841
"2",5.519,51.40698591,-2.66315796
"2",5.539,51.40698542,-2.66315755
"2",5.559,51.40698489,-2.6631572
"2",5.579,51.40698434,-2.66315682
"2",5.599,51.40698381,-2.66315637
"2",5.619,51.4069833,-2.66315591
"2",5.639,51.40698282,-2.66315546
"2",5.66,51.40698235,-2.66315493
"2",5.68,51.40698192,-2.66315426
"2",5.7,51.40698151,-2.66315356
"2",5.72,51.40698109,-2.66315298
